mets,rxn1,rxn2,type,maxCosine,cosines,formula1,formula2,degree,pair_gene1,pair_gene2
6pgl[c],RC02736,RC02035,P/C,0.310545598955383,,g6p-B[c] + nadp[c]  -> h[c] + nadph[c] + 6pgl[c] ,h2o[c] + 6pgl[c]  -> h[c] + 6pgc[c] ,2,x.gspd_1_met7_lib2,x_Y57G11C_3_met7_lib6
6pgc[c],RC02035,RC01528,P/C,0.236161974244792,,h2o[c] + 6pgl[c]  -> h[c] + 6pgc[c] ,nadp[c] + 6pgc[c]  -> co2[c] + nadph[c] + ru5p-D[c] ,3,x.Y57G11C.3_met7_lib6,x_T25B9_9_met11_lib2
s7p[c],RC01641,RC01827,P/C,0.597500826723647,,g3p[c] + s7p[c]  <=> xu5p-D[c] + r5p[c] ,g3p[c] + s7p[c]  <=> f6p[c] + e4p[c] ,4,x.tkt_1_met7_lib2,x_tald_1_met7_lib2
e4p[c],RC01830,RC01827,P/C,0.597500826723647,,f6p[c] + g3p[c]  <=> xu5p-D[c] + e4p[c] ,g3p[c] + s7p[c]  <=> f6p[c] + e4p[c] ,3,x.tkt_1_met7_lib2,x_tald_1_met7_lib2
ficytC[m],RM02161,RM00081,P/C,0.701882771479615,,2 h[m] + qh2[m] + 2 ficytC[m]  -> 4 h[c] + q[m] + 2 focytC[m] ,8 h[m] + 4 focytC[m] + o2[m]  -> 4 h[c] + 2 h2o[m] + 4 ficytC[m] ,5,x.F45H10.2_met6_lib4,x_cox_7C_met9_lib4
focytC[m],RM02161,RM00081,P/C,0.701882771479615,,2 h[m] + qh2[m] + 2 ficytC[m]  -> 4 h[c] + q[m] + 2 focytC[m] ,8 h[m] + 4 focytC[m] + o2[m]  -> 4 h[c] + 2 h2o[m] + 4 ficytC[m] ,7,x.F45H10.2_met6_lib4,x_cox_7C_met9_lib4
focytC[m],RM00081,RM02480,P/C,0.315962093857402,,8 h[m] + 4 focytC[m] + o2[m]  -> 4 h[c] + 2 h2o[m] + 4 ficytC[m] ,apocytc[m] + pheme[m]  -> focytC[m] ,7,x.cox_6C_met9_lib6,x_cchl_1_met8_lib3
glu-L[c],RC07396,RC00573,P/C,0.243073574138845,,glu-L[c] + 2kmb[c]  -> akg[c] + met-L[c] ,atp[c] + h2o[c] + gln-L[c] + utp[c]  -> adp[c] + 2 h[c] + pi[c] + glu-L[c] + ctp[c] ,33,x.tatn_1_met13_lib4,x_ctps_1_met13_lib6
glu-L[c],RC00734,RC00573,P/C,0.243073574138845,,akg[c] + tyr-L[c]  <=> glu-L[c] + 34hpp[c] ,atp[c] + h2o[c] + gln-L[c] + utp[c]  -> adp[c] + 2 h[c] + pi[c] + glu-L[c] + ctp[c] ,33,x.tatn_1_met13_lib4,x_ctps_1_met13_lib6
glu-L[c],RC00694,RC00573,P/C,0.243073574138845,,akg[c] + phe-L[c]  <=> glu-L[c] + phpyr[c] ,atp[c] + h2o[c] + gln-L[c] + utp[c]  -> adp[c] + 2 h[c] + pi[c] + glu-L[c] + ctp[c] ,33,x.tatn_1_met13_lib4,x_ctps_1_met13_lib6
glu-L[m],RM01648,RM00258,P/C,0.231206999741968,,akg[m] + 4abut[m]  -> sucsal[m] + glu-L[m] ,akg[m] + ala-L[m]  <=> pyr[m] + glu-L[m] ,27,x.gta_1_met1_lib4,x_C32F10_8_met13_lib2
glu-L[m],RM04188,RM00258,P/C,0.231206999741968,,glu-L[m] + 2mop[m]  -> akg[m] + 3aib[m] ,akg[m] + ala-L[m]  <=> pyr[m] + glu-L[m] ,27,x.gta_1_met1_lib4,x_C32F10_8_met13_lib2
glu-L[m],RM00908,RM00258,P/C,0.231206999741968,,akg[m] + ala-B[m]  <=> glu-L[m] + msa[m] ,akg[m] + ala-L[m]  <=> pyr[m] + glu-L[m] ,27,x.gta_1_met1_lib4,x_C32F10_8_met13_lib2
gam6p[c],RC00768,RC02058,P/C,0.612605434668005,,f6p[c] + gln-L[c]  -> glu-L[c] + gam6p[c] ,accoa[c] + gam6p[c]  -> h[c] + coa[c] + acgam6p[c] ,6,x.gfat_2_met13_lib1,x_gna_2_met10_lib5
gam6p[c],RC01961,RC02058,P/C,0.613175977760319,,atp[c] + gam[c]  -> adp[c] + h[c] + gam6p[c] ,accoa[c] + gam6p[c]  -> h[c] + coa[c] + acgam6p[c] ,6,x.hxk_1_met7_lib4,x_gna_1_met10_lib6
ala-L[c],RC03038,RCC0142,P/C,0.30644428272425,,atp[c] + ala-L[c] + trnaala[c]  -> amp[c] + ppi[c] + alatrna[c] ,2 atp[c] + h2o[c] + 2 cys-L[c] + 2 trdrd[c] + cpmp[c]  -> 4 h[c] + 2 amp[c] + 2 ppi[c] + 2 ala-L[c] + 2 trdox[c] + molybd[c] ,15,x.aars_2_met11_lib5,x_nfs_1_met6_lib5
dcamp[c],RC01083,RC01135,P/C,0.440849698973326,,dcamp[c]  -> amp[c] + fum[c] ,gtp[c] + asp-L[c] + imp[c]  -> 2 h[c] + pi[c] + gdp[c] + dcamp[c] ,2,x.adsl_1_met9_lib3,x_adss_1_met9_lib3
fum[c],RC01083,RC01082,P/C,0.207362941264932,,dcamp[c]  -> amp[c] + fum[c] ,mal-L[c]  <=> h2o[c] + fum[c] ,11,x.adsl_1_met9_lib3,x_fum_1_met13_lib6
fum[c],RC04559,RC01082,P/C,0.207362941264932,,25aics[c]  -> fum[c] + aicar[c] ,mal-L[c]  <=> h2o[c] + fum[c] ,11,x.adsl_1_met9_lib3,x_fum_1_met13_lib6
hcys-L[c],RC01290,RC00192,P/C,0.710481692930967,,ser-L[c] + hcys-L[c]  -> h2o[c] + cyst-L[c] ,h2o[c] + ahcys[c]  -> hcys-L[c] + adn[c] ,4,x.cbs_1_met5_lib5,x_ahcy_1_met5_lib5
5mthf[c],RC00946,RC01224,P/C,0.609931610436158,,hcys-L[c] + 5mthf[c]  -> h[c] + met-L[c] + thf[c] ,2 h[c] + nadph[c] + mlthf[c]  <=> nadp[c] + 5mthf[c] ,4,x.mtrr_1_met5_lib6,x_mthf_1_met13_lib6
5mthf[c],RC00946,RC07168,P/C,0.609931610436158,,hcys-L[c] + 5mthf[c]  -> h[c] + met-L[c] + thf[c] ,2 h[c] + nadh[c] + mlthf[c]  <=> nad[c] + 5mthf[c] ,4,x.mtrr_1_met5_lib6,x_mthf_1_met13_lib6
met-L[c],RC00946,RC00177,P/C,0.293263547288988,,hcys-L[c] + 5mthf[c]  -> h[c] + met-L[c] + thf[c] ,atp[c] + h2o[c] + met-L[c]  -> pi[c] + ppi[c] + amet[c] ,8,x.metr_1_met11_lib5,x_sams_5_met5_lib3
ahcys[c],RC00192,RC02037,P/C,0.465621903520335,,h2o[c] + ahcys[c]  -> hcys-L[c] + adn[c] ,amet[c] + ethamp[c]  -> h[c] + ahcys[c] + methamp[c] ,15,x.ahcy_1_met5_lib5,x_pmt_1_met2_lib2
ahcys[c],RC00192,RCC0021,P/C,0.507813358622038,,h2o[c] + ahcys[c]  -> hcys-L[c] + adn[c] ,2 amet[c] + methamp[c]  -> 2 h[c] + 2 ahcys[c] + cholp[c] ,15,x.ahcy_1_met5_lib5,x_pmt_2_met13_lib6
amet[c],RC00177,RC02037,P/C,0.569789300587654,,atp[c] + h2o[c] + met-L[c]  -> pi[c] + ppi[c] + amet[c] ,amet[c] + ethamp[c]  -> h[c] + ahcys[c] + methamp[c] ,16,x.sams_1_met9_lib5,x_pmt_1_met2_lib2
amet[c],RC00177,RCC0021,P/C,0.460663269582792,,atp[c] + h2o[c] + met-L[c]  -> pi[c] + ppi[c] + amet[c] ,2 amet[c] + methamp[c]  -> 2 h[c] + 2 ahcys[c] + cholp[c] ,16,x.sams_1_met9_lib5,x_pmt_2_met13_lib6
ivcoa[m],RMC0011,RM04096,P/C,0.366269350862776,,coa[m] + nad[m] + 4mop[m]  -> co2[m] + nadh[m] + ivcoa[m] ,ivcoa[m] + etfox[m]  -> 3mb2coa[m] + etfrd[m] ,4,x.dbt_1_met1_lib6,x_ivd_1_met3_lib2
ivcoa[m],RM04096,RMC0105,P/C,0.204113332978664,,ivcoa[m] + etfox[m]  -> 3mb2coa[m] + etfrd[m] ,2 coa[m] + 2 nad[m] + 2 h2o[m] + 2 fad[m] + fa9p0isocoa[m]  -> 2 accoa[m] + 2 nadh[m] + 2 h[m] + 2 fadh2[m] + ivcoa[m] ,4,x.ivd_1_met3_lib2,x_hacd_1_met2_lib2
3mb2coa[m],RM04096,RM04138,P/C,0.213892985033434,,ivcoa[m] + etfox[m]  -> 3mb2coa[m] + etfrd[m] ,atp[m] + hco3[m] + 3mb2coa[m]  -> h[m] + adp[m] + pi[m] + 3mgcoa[m] ,2,x.ivd_1_met3_lib2,x_mccc_1_met3_lib6
3hibutcoa[m],RM04224,RM05064,P/C,0.54181245262112,,h2o[m] + 2mp2coa[m]  -> 3hibutcoa[m] ,h2o[m] + 3hibutcoa[m]  -> coa[m] + h[m] + 3hmp[m] ,2,x.ech_6_met13_lib1,x_hach_1_met2_lib3
hmgcoa[c],RC01978,RC02082,P/C,0.2032545584608,,h2o[c] + accoa[c] + aacoa[c]  -> h[c] + coa[c] + hmgcoa[c] ,2 h[c] + 2 nadph[c] + hmgcoa[c]  -> 2 nadp[c] + coa[c] + mev-R[c] ,3,x.hmgs_1_met13_lib1,x_hmgr_1_met3_lib1
34hpp[c],RC00734,RC02521,P/C,0.437593126043506,,akg[c] + tyr-L[c]  <=> glu-L[c] + 34hpp[c] ,o2[c] + 34hpp[c]  -> co2[c] + hgentis[c] ,5,x.tatn_1_met13_lib4,x_hpd_1_met8_lib1
phpyr[c],RC00694,RC01372,P/C,0.437593126043506,,akg[c] + phe-L[c]  <=> glu-L[c] + phpyr[c] ,o2[c] + phpyr[c]  -> co2[c] + 2hyoxplac[c] ,5,x.tatn_1_met13_lib4,x_hpd_1_met8_lib1
cholp[c],RC01890,RCC0021,P/C,0.631440178504111,,h[c] + cholp[c] + ctp[c]  -> ppi[c] + cdpchol[c] ,2 amet[c] + methamp[c]  -> 2 h[c] + 2 ahcys[c] + cholp[c] ,5,x.pcyt_1_met1_lib1,x_pmt_2_met13_lib6
ctp[c],RC01799,RC00570,P/C,0.259224683868232,,h[c] + pa_pl[c] + ctp[c]  -> ppi[c] + cdpdag[c] ,atp[c] + cdp[c]  <=> adp[c] + ctp[c] ,10,x.cdgs_1_met1_lib6,x_ndk_1_met4_lib5
ctp[c],RC00571,BIO0003,P/C,0.240322150587729,,atp[c] + nh4[c] + utp[c]  -> adp[c] + 2 h[c] + pi[c] + ctp[c] ,0.639534 atp[c] + 0.406032 h2o[c] + 0.233503 gtp[c] + 0.228426 ctp[c] + 0.304569 utp[c]  -> 0.406032 adp[c] + 0.406032 h[c] + 0.406032 pi[c] + ppi[c] + RNA[c] ,10,x.ctps_1_met13_lib6,x_let_611_met11_lib5
ctp[c],RC00573,BIO0003,P/C,0.240322150587729,,atp[c] + h2o[c] + gln-L[c] + utp[c]  -> adp[c] + 2 h[c] + pi[c] + glu-L[c] + ctp[c] ,0.639534 atp[c] + 0.406032 h2o[c] + 0.233503 gtp[c] + 0.228426 ctp[c] + 0.304569 utp[c]  -> 0.406032 adp[c] + 0.406032 h[c] + 0.406032 pi[c] + ppi[c] + RNA[c] ,10,x.ctps_1_met13_lib6,x_let_611_met11_lib5
ctp[c],RC00570,BIO0003,P/C,0.322909515508412,,atp[c] + cdp[c]  <=> adp[c] + ctp[c] ,0.639534 atp[c] + 0.406032 h2o[c] + 0.233503 gtp[c] + 0.228426 ctp[c] + 0.304569 utp[c]  -> 0.406032 adp[c] + 0.406032 h[c] + 0.406032 pi[c] + ppi[c] + RNA[c] ,10,x.ndk_1_met4_lib5,x_rpoa_12_met9_lib3
dag_pl[c],RC02239,RC02057,P/C,0.221548350905133,,h2o[c] + pa_pl[c]  -> pi[c] + dag_pl[c] ,dag_pl[c] + cdpea[c]  <=> h[c] + cmp[c] + pe[c] ,7,x.lpin_1_met11_lib2,x_ept_1_met11_lib3
dag_pl[c],RC02057,RC03435,P/C,0.219641996542157,,dag_pl[c] + cdpea[c]  <=> h[c] + cmp[c] + pe[c] ,h2o[c] + pail45p[c]  -> h[c] + dag_pl[c] + mi145p[c] ,7,x.ept_1_met11_lib3,x_egl_8_met8_lib6
dag_pl[c],RC02057,RC03332,P/C,0.219641996542157,,dag_pl[c] + cdpea[c]  <=> h[c] + cmp[c] + pe[c] ,h2o[c] + pail[c]  -> h[c] + dag_pl[c] + mi1p-D[c] ,7,x.ept_1_met11_lib3,x_egl_8_met8_lib6
ethamp[c],RC02037,RC02464,P/C,0.318065858870702,,amet[c] + ethamp[c]  -> h[c] + ahcys[c] + methamp[c] ,sph1p_ce[c]  -> ethamp[c] + m15hxdcal[c] ,7,x.pmt_1_met2_lib2,x_spl_1_met2_lib4
pmtcoa[c],RC07758,RCC0126,P/C,0.399842366054898,,h[c] + pmtcoa[c] + malcoa[c]  -> co2[c] + coa[c] + 3oodcoa[c] ,h2o[c] + nad[c] + coa[c] + o2[c] + stcoa[c]  -> h[c] + nadh[c] + accoa[c] + h2o2[c] + pmtcoa[c] ,11,x.elo_1_met13_lib4,x_dhs_28_met9_lib4
malcoa[c],RCC0019,RCC0063,P/C,0.674902391693208,,atp[c] + accoa[c] + hco3[c]  -> adp[c] + h[c] + pi[c] + malcoa[c] ,3 h[c] + 2 nadph[c] + malcoa[c] + strdnccoa[c]  -> h2o[c] + co2[c] + 2 nadp[c] + coa[c] + eicostetcoa[c] ,13,x.pod_2_met11_lib4,x_let_767_met13_lib4
malcoa[c],RCC0019,RCC0064,P/C,0.674902391693208,,atp[c] + accoa[c] + hco3[c]  -> adp[c] + h[c] + pi[c] + malcoa[c] ,3 h[c] + 2 nadph[c] + malcoa[c] + lnlncgcoa[c]  -> h2o[c] + co2[c] + 2 nadp[c] + coa[c] + dlnlcgcoa[c] ,13,x.pod_2_met11_lib4,x_let_767_met13_lib4
malcoa[c],RCC0019,RCC0070,P/C,0.761844021227047,,atp[c] + accoa[c] + hco3[c]  -> adp[c] + h[c] + pi[c] + malcoa[c] ,3 h[c] + 2 nadph[c] + malcoa[c] + fa16p1n7coa[c]  -> h2o[c] + co2[c] + 2 nadp[c] + coa[c] + vacccoa[c] ,13,x.pod_2_met11_lib4,x_elo_5_met11_lib1
malcoa[c],RCC0019,RCC0072,P/C,0.761844021227047,,atp[c] + accoa[c] + hco3[c]  -> adp[c] + h[c] + pi[c] + malcoa[c] ,3 h[c] + 2 nadph[c] + malcoa[c] + fa13p0iso[c]  -> h2o[c] + co2[c] + 2 nadp[c] + coa[c] + fa15p0iso[c] ,13,x.pod_2_met11_lib4,x_elo_5_met11_lib1
malcoa[c],RCC0019,RCC0073,P/C,0.761844021227047,,atp[c] + accoa[c] + hco3[c]  -> adp[c] + h[c] + pi[c] + malcoa[c] ,3 h[c] + 2 nadph[c] + malcoa[c] + fa15p0iso[c]  -> h2o[c] + co2[c] + 2 nadp[c] + coa[c] + fa17p0iso[c] ,13,x.pod_2_met11_lib4,x_elo_5_met11_lib1
malcoa[c],RCC0019,RCC0124,P/C,0.674902391693208,,atp[c] + accoa[c] + hco3[c]  -> adp[c] + h[c] + pi[c] + malcoa[c] ,9 h[c] + 6 nadph[c] + 3 malcoa[c] + stcoa[c]  -> 3 h2o[c] + 3 co2[c] + 6 nadp[c] + 3 coa[c] + lgnccoa[c] ,13,x.pod_2_met11_lib4,x_let_767_met13_lib4
malcoa[c],RCC0019,RCC0210,P/C,0.674902391693208,,atp[c] + accoa[c] + hco3[c]  -> adp[c] + h[c] + pi[c] + malcoa[c] ,6 h[c] + 4 nadph[c] + 2 malcoa[c] + lgnccoa[c]  -> 2 h2o[c] + 2 co2[c] + 4 nadp[c] + 2 coa[c] + fa28p0coa[c] ,13,x.pod_2_met11_lib4,x_let_767_met13_lib4
methamp[c],RC02037,RCC0021,P/C,0.569600818331265,,amet[c] + ethamp[c]  -> h[c] + ahcys[c] + methamp[c] ,2 amet[c] + methamp[c]  -> 2 h[c] + 2 ahcys[c] + cholp[c] ,2,x.pmt_1_met2_lib2,x_pmt_2_met13_lib6
ins[c],RC01863,RC01560,P/C,0.508164616176076,,pi[c] + ins[c]  <=> r1p[c] + hxan[c] ,h[c] + h2o[c] + adn[c]  -> nh4[c] + ins[c] ,4,x.pnp_1_met4_lib1,x_adah_1_met4_lib2
din[c],RC02748,RC02556,P/C,0.508164616176076,,pi[c] + din[c]  <=> hxan[c] + 2dr1p[c] ,h[c] + h2o[c] + dad-2[c]  -> nh4[c] + din[c] ,3,x.pnp_1_met4_lib1,x_adah_1_met4_lib2
dad-2[c],RC02557,RC02556,P/C,0.508164616176076,,pi[c] + dad-2[c]  <=> ade[c] + 2dr1p[c] ,h[c] + h2o[c] + dad-2[c]  -> nh4[c] + din[c] ,4,x.pnp_1_met4_lib1,x_adah_1_met4_lib2
datp[c],RC01137,BIO0004,P/C,0.309397287122737,,atp[c] + dadp[c]  <=> adp[c] + datp[c] ,0.368 atp[c] + 0.368 h2o[c] + 0.325 datp[c] + 0.175 dgtp[c] + 0.175 dctp[c] + 0.325 dttp[c]  -> 0.368 adp[c] + 0.368 h[c] + 0.368 pi[c] + ppi[c] + DNA[c] ,3,x.ndk_1_met4_lib5,x_pole_2_met9_lib1
xmp[c],RC01130,RC01230,P/C,0.239644988901667,,h2o[c] + nad[c] + imp[c]  -> h[c] + nadh[c] + xmp[c] ,atp[c] + nh4[c] + xmp[c]  -> 2 h[c] + amp[c] + ppi[c] + gmp[c] ,6,x.T22D1.3_met4_lib4,x_gmps_1_met13_lib4
xmp[c],RC01130,RC01231,P/C,0.239644988901667,,h2o[c] + nad[c] + imp[c]  -> h[c] + nadh[c] + xmp[c] ,atp[c] + h2o[c] + gln-L[c] + xmp[c]  -> 2 h[c] + amp[c] + ppi[c] + glu-L[c] + gmp[c] ,6,x.T22D1.3_met4_lib4,x_gmps_1_met13_lib4
